epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1467.14,0.6544,0.42316,0.93177,0.98474,0.97423,0.98986,0.84492,0.57334,0.32547,0.90453,0.000569094,0.000569094,0.000569094
43,1503.48,0.68306,0.47296,0.95086,0.97415,0.97045,0.9886,0.8511,0.53973,0.34369,0.91621,0.000565559,0.000565559,0.000565559
44,1539.23,0.66478,0.44379,0.93393,0.97556,0.96597,0.98395,0.8241,0.64547,0.37054,0.93232,0.000562025,0.000562025,0.000562025
45,1575.05,0.66596,0.45116,0.94515,0.98425,0.97127,0.9895,0.8529,0.53306,0.33264,0.90366,0.000558491,0.000558491,0.000558491
46,1610.12,0.65082,0.44046,0.94412,0.98787,0.97937,0.99024,0.8519,0.61002,0.33628,0.9155,0.000554956,0.000554956,0.000554956
47,1646.13,0.65863,0.43032,0.93769,0.98444,0.96454,0.98736,0.86305,0.52942,0.35348,0.90573,0.000551422,0.000551422,0.000551422
48,1682.36,0.64938,0.4465,0.94438,0.9789,0.97479,0.99375,0.86548,0.57284,0.3463,0.90832,0.000547888,0.000547888,0.000547888
49,1717.77,0.62637,0.41368,0.92888,0.98389,0.96767,0.99038,0.849,0.57891,0.32147,0.90786,0.000544354,0.000544354,0.000544354
50,1753.6,0.65686,0.43518,0.93837,0.97652,0.98659,0.98643,0.85432,0.54892,0.3319,0.89865,0.000540819,0.000540819,0.000540819
51,1789.3,0.66569,0.45114,0.94459,0.98142,0.97448,0.98629,0.85375,0.5466,0.32047,0.89879,0.000537285,0.000537285,0.000537285
52,1823.73,0.64542,0.4274,0.93312,0.98115,0.98453,0.99047,0.84588,0.60389,0.34046,0.89976,0.000533751,0.000533751,0.000533751
53,1858.42,0.63635,0.41318,0.93416,0.98058,0.97657,0.9893,0.83882,0.60811,0.3579,0.89705,0.000530216,0.000530216,0.000530216
54,1892.76,0.64372,0.42586,0.93661,0.98439,0.96997,0.99108,0.85509,0.5187,0.29982,0.88944,0.000526682,0.000526682,0.000526682
55,1927.14,0.6146,0.40254,0.91681,0.96514,0.97243,0.99254,0.84594,0.60271,0.35144,0.90402,0.000523148,0.000523148,0.000523148
56,1961.43,0.6032,0.41528,0.92467,0.98593,0.97721,0.99011,0.84941,0.56457,0.32288,0.88743,0.000519613,0.000519613,0.000519613
57,1995.78,0.62322,0.41341,0.93363,0.98549,0.97094,0.99025,0.81446,0.69373,0.35623,0.91274,0.000516079,0.000516079,0.000516079
58,2030.13,0.61637,0.41127,0.92486,0.97833,0.98576,0.99384,0.86086,0.56366,0.31907,0.90033,0.000512545,0.000512545,0.000512545
59,2064.43,0.60333,0.42151,0.92078,0.9896,0.96103,0.98619,0.84689,0.63397,0.32794,0.91854,0.000509011,0.000509011,0.000509011
60,2098.72,0.61196,0.42038,0.9274,0.98094,0.9744,0.99103,0.86764,0.51392,0.31782,0.89257,0.000505476,0.000505476,0.000505476
61,2133.26,0.64167,0.42326,0.93265,0.97275,0.98224,0.99024,0.86466,0.5276,0.31091,0.89247,0.000501942,0.000501942,0.000501942
62,2167.62,0.62319,0.41903,0.93057,0.9816,0.97226,0.98859,0.87292,0.49279,0.30466,0.88464,0.000498408,0.000498408,0.000498408
63,2202.23,0.58769,0.38467,0.9155,0.98657,0.96576,0.9895,0.88331,0.4934,0.30787,0.89646,0.000494873,0.000494873,0.000494873
64,2236.76,0.60374,0.40401,0.93091,0.98496,0.96162,0.98742,0.83133,0.60683,0.32727,0.91511,0.000491339,0.000491339,0.000491339
65,2272.1,0.61258,0.41957,0.93994,0.97619,0.98398,0.99067,0.88375,0.47698,0.31319,0.88186,0.000487805,0.000487805,0.000487805
66,2307.31,0.58574,0.40888,0.92404,0.97861,0.97342,0.99151,0.86592,0.5421,0.31248,0.90462,0.000484271,0.000484271,0.000484271
67,2343.11,0.57771,0.40566,0.91449,0.97669,0.96872,0.98327,0.88053,0.49542,0.3102,0.89772,0.000480736,0.000480736,0.000480736
68,2377.87,0.5796,0.40457,0.91593,0.97097,0.9732,0.99051,0.87388,0.55001,0.32395,0.8912,0.000477202,0.000477202,0.000477202
69,2413,0.57697,0.40377,0.90336,0.98164,0.97419,0.99147,0.88417,0.52886,0.30835,0.90072,0.000473668,0.000473668,0.000473668
70,2448.03,0.57544,0.38118,0.9068,0.97806,0.96639,0.99214,0.89309,0.47732,0.31184,0.89545,0.000470133,0.000470133,0.000470133
71,2484.38,0.5988,0.405,0.92266,0.98887,0.97408,0.993,0.8734,0.52138,0.28196,0.89545,0.000466599,0.000466599,0.000466599
72,2520.66,0.5586,0.39024,0.90994,0.98906,0.97602,0.99143,0.86102,0.55579,0.28556,0.89062,0.000463065,0.000463065,0.000463065
73,2555.71,0.56448,0.39629,0.92132,0.97317,0.97897,0.98612,0.84499,0.65819,0.34358,0.93762,0.00045953,0.00045953,0.00045953
74,2590.74,0.58504,0.40349,0.91876,0.99311,0.96907,0.98713,0.88085,0.5007,0.31012,0.88843,0.000455996,0.000455996,0.000455996
75,2625.57,0.58829,0.39413,0.9209,0.98688,0.97086,0.98803,0.8933,0.45791,0.27441,0.87537,0.000452462,0.000452462,0.000452462
76,2660.25,0.58259,0.39309,0.91792,0.97142,0.98531,0.99093,0.87826,0.50964,0.32077,0.88339,0.000448928,0.000448928,0.000448928
77,2695.81,0.56966,0.38117,0.90738,0.98524,0.96867,0.99382,0.89343,0.45931,0.29907,0.88788,0.000445393,0.000445393,0.000445393
78,2731.74,0.56396,0.37521,0.90541,0.9899,0.97763,0.994,0.8636,0.57812,0.29451,0.89568,0.000441859,0.000441859,0.000441859
79,2766.4,0.54939,0.35385,0.89126,0.98205,0.97642,0.99289,0.86894,0.5469,0.29836,0.90336,0.000438325,0.000438325,0.000438325
80,2801.71,0.56084,0.36933,0.90507,0.9928,0.97092,0.99066,0.88432,0.47452,0.28094,0.88305,0.00043479,0.00043479,0.00043479
81,2836.53,0.57472,0.38556,0.91222,0.98051,0.97484,0.9908,0.86128,0.59647,0.34523,0.9126,0.000431256,0.000431256,0.000431256
82,2870.66,0.53871,0.36973,0.89928,0.97206,0.98146,0.98956,0.86781,0.5444,0.30012,0.8913,0.000427722,0.000427722,0.000427722
83,2904.76,0.55171,0.36374,0.90209,0.97496,0.97311,0.99013,0.87816,0.50522,0.28497,0.88364,0.000424187,0.000424187,0.000424187
84,2938.87,0.52661,0.35218,0.89321,0.98907,0.96185,0.99342,0.895,0.45573,0.2797,0.87269,0.000420653,0.000420653,0.000420653
85,2974.8,0.54871,0.36996,0.91849,0.99079,0.96866,0.99071,0.9027,0.44216,0.27573,0.87288,0.000417119,0.000417119,0.000417119
86,3010.23,0.53815,0.36142,0.90281,0.98699,0.96113,0.98573,0.88688,0.45988,0.28379,0.87391,0.000413584,0.000413584,0.000413584
87,3046.92,0.53021,0.37101,0.90479,0.97081,0.97558,0.98856,0.8877,0.44529,0.3004,0.88158,0.00041005,0.00041005,0.00041005
88,3083.82,0.53475,0.35816,0.90955,0.97386,0.97588,0.98888,0.88795,0.4728,0.29121,0.88215,0.000406516,0.000406516,0.000406516
89,3118.78,0.52958,0.36358,0.89666,0.98558,0.9715,0.99009,0.89387,0.47502,0.28798,0.8763,0.000402982,0.000402982,0.000402982
90,3155.05,0.50924,0.36207,0.88965,0.98572,0.97172,0.9918,0.89275,0.4853,0.28475,0.88088,0.000399447,0.000399447,0.000399447
91,3190.46,0.53328,0.35044,0.90101,0.98793,0.96918,0.98987,0.88965,0.48602,0.27502,0.8755,0.000395913,0.000395913,0.000395913
92,3226.05,0.53582,0.35722,0.8972,0.98596,0.96816,0.9914,0.89466,0.47788,0.26739,0.88127,0.000392379,0.000392379,0.000392379
93,3261.49,0.53023,0.37859,0.90329,0.9863,0.97259,0.99414,0.87174,0.57098,0.29471,0.89884,0.000388844,0.000388844,0.000388844
94,3297.12,0.52787,0.35981,0.90286,0.99331,0.97707,0.98734,0.88707,0.4626,0.28549,0.86745,0.00038531,0.00038531,0.00038531
95,3332.11,0.53362,0.38472,0.89951,0.98501,0.97228,0.98632,0.89742,0.46824,0.2884,0.8729,0.000381776,0.000381776,0.000381776
