epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
171,5990.51,0.38497,0.26785,0.85442,0.98967,0.96396,0.99064,0.93288,0.36978,0.22333,0.87883,0.000113169,0.000113169,0.000113169
172,6025.01,0.37937,0.25851,0.84581,0.98733,0.97085,0.99017,0.93688,0.3599,0.21385,0.87778,0.000109635,0.000109635,0.000109635
173,6059.14,0.38365,0.26623,0.85764,0.98695,0.97203,0.98992,0.94578,0.33029,0.20721,0.87919,0.0001061,0.0001061,0.0001061
174,6093.5,0.39727,0.26606,0.86045,0.98965,0.97223,0.98996,0.94466,0.33499,0.20832,0.87582,0.000102566,0.000102566,0.000102566
175,6127.59,0.38312,0.2555,0.86069,0.9883,0.9724,0.99048,0.94595,0.33062,0.20619,0.87417,9.90318e-05,9.90318e-05,9.90318e-05
176,6161.94,0.38238,0.26343,0.85634,0.98833,0.97173,0.98874,0.94367,0.34575,0.21225,0.87159,9.54975e-05,9.54975e-05,9.54975e-05
177,6196.11,0.3713,0.26872,0.85427,0.9904,0.97051,0.98897,0.9461,0.34643,0.20795,0.87797,9.19632e-05,9.19632e-05,9.19632e-05
178,6230.22,0.3814,0.2697,0.86095,0.9903,0.97196,0.98893,0.94122,0.35351,0.21116,0.87713,8.84289e-05,8.84289e-05,8.84289e-05
179,6264.31,0.37177,0.25287,0.85159,0.98816,0.97364,0.99004,0.942,0.35732,0.214,0.87625,8.48946e-05,8.48946e-05,8.48946e-05
180,6298.39,0.35865,0.24658,0.84444,0.98988,0.97206,0.99112,0.93737,0.35443,0.20939,0.87341,8.13603e-05,8.13603e-05,8.13603e-05
181,6332.51,0.37783,0.25278,0.85434,0.98915,0.97269,0.99099,0.94096,0.35514,0.21098,0.87529,7.7826e-05,7.7826e-05,7.7826e-05
182,6366.62,0.36769,0.2615,0.85786,0.9884,0.97325,0.99082,0.94442,0.35863,0.21108,0.87358,7.42917e-05,7.42917e-05,7.42917e-05
183,6400.75,0.36893,0.25523,0.85046,0.9891,0.97325,0.99102,0.94133,0.36144,0.20856,0.87432,7.07574e-05,7.07574e-05,7.07574e-05
184,6434.87,0.37465,0.25966,0.85425,0.9864,0.97606,0.9913,0.94868,0.34105,0.19982,0.87705,6.72231e-05,6.72231e-05,6.72231e-05
185,6469.2,0.36401,0.24638,0.85381,0.98729,0.97567,0.99082,0.94937,0.33883,0.20042,0.88102,6.36888e-05,6.36888e-05,6.36888e-05
186,6503.51,0.37033,0.25632,0.84944,0.98821,0.97579,0.99169,0.94565,0.3445,0.203,0.87475,6.01545e-05,6.01545e-05,6.01545e-05
187,6537.61,0.36958,0.2484,0.85049,0.98776,0.97629,0.99152,0.94732,0.35436,0.20258,0.87982,5.66202e-05,5.66202e-05,5.66202e-05
188,6571.73,0.37249,0.24821,0.8501,0.98789,0.9762,0.99183,0.9474,0.34894,0.20395,0.87807,5.30859e-05,5.30859e-05,5.30859e-05
189,6606.03,0.37276,0.25743,0.85789,0.98858,0.97322,0.99141,0.9513,0.3415,0.20076,0.86967,4.95516e-05,4.95516e-05,4.95516e-05
190,6640.84,0.35557,0.2484,0.84925,0.98908,0.97213,0.99045,0.94973,0.32737,0.19639,0.87212,4.60173e-05,4.60173e-05,4.60173e-05
191,6675.25,0.25524,0.16662,0.78758,0.98785,0.97325,0.99067,0.95508,0.33175,0.20082,0.87112,4.2483e-05,4.2483e-05,4.2483e-05
192,6709.6,0.25205,0.1641,0.77026,0.98716,0.97433,0.99069,0.9482,0.33839,0.20328,0.87118,3.89487e-05,3.89487e-05,3.89487e-05
193,6743.65,0.25695,0.16358,0.7845,0.98748,0.97391,0.99083,0.95057,0.33255,0.20202,0.87272,3.54144e-05,3.54144e-05,3.54144e-05
194,6777.67,0.25105,0.16067,0.78418,0.98806,0.97328,0.99085,0.948,0.33847,0.2075,0.87743,3.18801e-05,3.18801e-05,3.18801e-05
195,6811.72,0.24003,0.15818,0.78549,0.98883,0.97327,0.99089,0.94944,0.3285,0.20292,0.87888,2.83458e-05,2.83458e-05,2.83458e-05
196,6845.74,0.2412,0.15924,0.77981,0.9888,0.97321,0.99069,0.94823,0.33014,0.20336,0.87749,2.48115e-05,2.48115e-05,2.48115e-05
197,6879.8,0.24482,0.1588,0.7857,0.98859,0.9734,0.99089,0.94663,0.3334,0.20344,0.87702,2.12772e-05,2.12772e-05,2.12772e-05
198,6914.1,0.23559,0.15649,0.78188,0.98888,0.97301,0.99071,0.95067,0.335,0.20617,0.87641,1.77429e-05,1.77429e-05,1.77429e-05
199,6948.19,0.24261,0.15827,0.77553,0.98907,0.97276,0.99061,0.95027,0.34253,0.20688,0.8755,1.42086e-05,1.42086e-05,1.42086e-05
200,6982.32,0.24,0.15495,0.78893,0.98915,0.9725,0.99064,0.95167,0.33244,0.203,0.8748,1.06743e-05,1.06743e-05,1.06743e-05
